paid,verified,study_hours,technical_skills,Angular,Java,Machine Learning,Python,React,SQL,Spring Boot,role_ENTERPRISE,role_FREELANCER,role_STUDENT,role_TEACHER,specialty_Data Science,specialty_Finance,specialty_Informatique,specialty_Marketing,specialty_Mathématiques,sector_Finance,sector_Santé,sector_Technologie,sector_Éducation,sector_Énergie
,0.0,0.0,0,0,1,0,0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,,27.614452891274563,1,0,1,0,1,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,5.464549785534448,1,0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,0.0,0.0,0,0,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1.0,,10.507706488668815,2,0,0,0,1,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,1.0,0.0,0,0,0,1,1,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,,24.70776858648922,4,0,0,1,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.0,,19.438519463199206,2,1,0,0,0,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,,0.0,1,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,0.0,3,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1.0,,23.062805561022493,1,1,0,1,0,0,0,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0.0,,11.603162552924118,4,0,1,1,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0,,26.22706360979992,4,0,1,0,1,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,0.0,2,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,17.359828843593323,4,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,,14.570343978674188,3,1,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,,14.872864903342666,3,0,0,0,0,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,0.0,3,1,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,14.973358484593204,1,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,,9.239818219819613,2,0,1,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,,24.902741289266757,1,0,0,0,0,0,1,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1.0,,18.09480811355682,3,0,1,0,1,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.0,,16.819848482872167,3,0,1,1,0,0,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,,19.571489770024584,3,1,0,0,1,0,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.0,,20.62232982790635,1,1,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0.0,,26.006378279742748,1,0,1,0,0,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,0.0,0.0,0,0,0,1,0,0,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,18.369073826615534,3,0,1,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,,23.270322438129632,3,1,0,0,0,0,1,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,,21.935115506379155,3,1,1,0,1,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.0,,20.05181899196665,2,1,1,0,0,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,1,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,0.0,4,1,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,17.661631371390055,1,0,0,1,0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,1.0,0.0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,1.0,0.0,0,1,1,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,,20.333680270537215,2,1,0,0,1,1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,0.0,0.0,0,0,0,1,0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,0.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,,0.0,2,1,0,0,1,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,0.0,1,1,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,23.124547260826024,4,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,17.013873133688474,4,0,0,0,0,0,1,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
1.0,,10.665658934626126,1,0,1,0,0,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0.0,,15.542635522817811,4,0,1,0,0,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,0.0,0.0,0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,21.419427617137472,2,0,0,0,1,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,0.0,0.0,0,1,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,1.0,0.0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,,0.0,3,0,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,1,0,1,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,1.0,0.0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,1.0,0.0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,,18.27024529763374,1,0,0,0,1,0,0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,,16.804946777362506,4,0,1,1,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1.0,,12.251313959764618,3,0,0,1,1,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,1,1,0,0,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,,14.174003115143691,4,0,1,1,0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.0,,18.473444593351555,2,0,0,1,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,0.0,0.0,0,1,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,,0.0,2,0,0,1,0,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,1,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1.0,,16.313583187072055,1,0,0,0,0,0,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,,24.869282335691587,3,0,0,1,0,1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,,19.227170669269313,4,0,0,1,0,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0.0,,27.300151675560585,4,0,0,0,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,1,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,,0.0,2,1,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,25.346045534277305,2,1,0,1,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0.0,,27.826943258946663,1,1,0,0,0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,,23.402302080047605,2,0,0,0,1,0,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False
,1.0,0.0,0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.0,,27.81345545925406,4,0,0,1,1,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,18.383430584335727,1,0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.0,,15.131007526560222,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.0,,22.701551599642432,2,0,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1.0,,15.43317231307093,2,0,1,0,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,,0.0,2,0,0,0,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,0.0,4,1,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,27.530889966227697,4,1,0,0,1,0,1,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,0,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,1.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1.0,,21.038997030974098,2,0,0,0,1,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,20.39604247380289,3,1,0,0,0,0,1,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False
1.0,,23.07486341627839,2,0,0,0,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,1.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,0.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,17.751561617637872,2,0,1,0,0,0,1,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,,18.847645879051015,1,0,0,1,1,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
,,14.467377879567175,4,0,0,0,0,0,0,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.0,,8.09208654051522,3,0,0,1,0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,,20.45264367209452,4,1,0,0,1,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
0.0,,25.405533989876027,4,0,0,0,1,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,0.0,0.0,0,0,0,1,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,15.397098863453351,2,1,0,0,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.0,,18.97430387590998,3,1,1,0,1,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0.0,,16.7411282330356,1,1,0,0,1,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,1,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,21.545304439585372,3,0,0,0,0,0,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,0.0,0.0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,,0.0,1,0,0,0,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,,20.17129688955428,4,1,1,0,0,1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,,0.0,3,0,0,1,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,21.710920393734526,3,0,0,0,1,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,1.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,,14.182133437855363,3,1,0,1,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,,15.08685889599631,1,0,1,0,1,0,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,19.63365108776278,4,0,0,1,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.0,,12.23538647498948,3,0,0,0,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,,21.1508167545228,4,0,1,0,1,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,17.162608847534443,1,0,0,1,1,0,0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,17.57282749421286,1,0,0,1,0,0,1,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,,0.0,1,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,,21.360031505789756,4,0,1,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,24.707890665534364,2,0,1,0,0,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1.0,,8.170418563367068,1,1,0,0,0,0,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.0,,18.104702869930783,3,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,25.301034951633092,1,0,0,0,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,1.0,0.0,0,1,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0,,20.714566783633046,1,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,,14.89654991194547,2,0,0,0,1,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
0.0,,19.851577917839826,3,0,1,0,1,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,,26.432779023983187,4,0,0,1,1,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,,24.20020623511259,4,0,0,0,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,1.0,0.0,0,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,,11.904353521957457,2,1,0,0,0,0,1,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1.0,,8.43090556441441,1,0,0,1,1,0,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,1,0,0,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,0.0,0.0,0,0,1,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,1.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,17.67913576439104,3,0,0,0,0,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,12.640481696182325,1,1,0,0,0,0,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1.0,,17.751232086326134,3,1,0,0,0,1,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,17.58206984862434,2,0,0,0,0,0,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0.0,,13.492661138802434,3,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,23.834193528631975,2,0,0,1,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,22.795568729402003,2,1,0,0,0,1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,0.0,0.0,0,0,1,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,1.0,0.0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,1.0,0.0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,,20.35502420034304,4,0,1,1,1,0,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
0.0,,23.86950910188091,3,1,0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,1.0,0.0,0,0,1,0,1,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
,0.0,0.0,0,0,0,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,,33.21577517529253,1,0,1,1,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0.0,,28.689099928801248,2,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,22.59226162833946,3,1,0,0,0,1,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.0,,16.209829020544234,2,1,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False
,,0.0,3,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,1.0,0.0,0,0,1,0,1,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,,15.841568164525835,3,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,1.0,0.0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
,0.0,0.0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,21.37964661275262,4,0,0,0,0,1,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,,22.496461968647072,3,1,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.0,,22.911698038526165,4,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.0,,35.643504830482435,1,0,1,0,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
,1.0,0.0,0,0,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,,17.60122182284698,4,0,1,0,1,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
,,20.9773218630411,1,0,1,1,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False
,1.0,0.0,0,1,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,0.0,2,0,1,1,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,1,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,23.321537014839684,3,0,0,0,1,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1.0,,21.520236738595862,4,0,0,1,0,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
,0.0,0.0,0,0,0,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,20.221555857001682,2,0,1,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
,,20.73538123309362,3,0,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0.0,,21.05569702048488,3,1,0,0,0,1,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1.0,,20.943955199990942,1,0,0,0,0,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
,,0.0,4,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
,1.0,0.0,0,0,0,1,1,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
,,22.60367735142301,4,0,1,1,0,0,1,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False
,,23.423367818255283,4,0,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False
,1.0,0.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1.0,,14.853564541900843,3,0,1,1,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False
